,출원번호,출원일,등록번호,등록일
243,17/173465,2021-02-11,11526335,2022-12-13
244,16/658318,2019-10-21,11526638,2022-12-13
245,17/161250,2021-01-28,11527051,2022-12-13
246,16/854743,2020-04-21,11527171,2022-12-13
247,17/778313,2020-11-11, , 
248,17/755988,2020-11-02, , 
249,17/806055,2022-06-08, , 
250,17/806056,2022-06-08, , 
251,17/824300,2022-05-25, , 
252,17/827132,2022-05-27, , 
253,17/827390,2022-05-27, , 
254,17/340170,2021-06-07, , 
255,17/805151,2022-06-02, , 
256,17/303555,2021-06-02, , 
257,17/774515,2020-11-11, , 
258,17/085456,2020-10-30,11520326,2022-12-06
259,16/949753,2020-11-12,11520571,2022-12-06
260,16/255073,2019-01-23,11520881,2022-12-06
261,17/034844,2020-09-28,11521026,2022-12-06
262,17/184585,2021-02-24,11521359,2022-12-06
263,17/027984,2020-09-22,11522414,2022-12-06
264,17/067244,2020-10-09,11522903,2022-12-06
265,17/128976,2020-12-21,11523095,2022-12-06
266,17/316132,2021-05-10,11523460,2022-12-06
267,17/833756,2022-06-06, , 
268,17/827280,2022-05-27, , 
269,17/336106,2021-06-01, , 
270,17/824624,2022-05-25, , 
271,17/750960,2022-05-23, , 
272,17/332656,2021-05-27, , 
273,17/303234,2021-05-25, , 
274,17/824941,2022-05-26, , 
275,17/827141,2022-05-27, , 
276,17/333215,2021-05-28, , 
277,17/817431,2022-08-04, , 
278,17/816756,2022-08-02, , 
279,17/816470,2022-08-01, , 
280,17/817424,2022-08-04, , 
281,17/827394,2022-05-27, , 
282,17/826611,2022-05-27, , 
283,17/818519,2022-08-09, , 
284,17/332813,2021-05-27, , 
285,17/818978,2022-08-11, , 
286,16/869757,2020-05-08,11510750,2022-11-29
287,16/805667,2020-02-28,11511199,2022-11-29
288,17/328270,2021-05-24,11513485,2022-11-29
289,17/063150,2020-10-05,11513672,2022-11-29
290,17/190758,2021-03-03,11514641,2022-11-29
291,17/561961,2021-12-26,11514655,2022-11-29
292,17/657771,2022-04-04,11514656,2022-11-29
293,17/468422,2021-09-07,11516068,2022-11-29
294,17/710189,2022-03-31,11516297,2022-11-29
295,17/845960,2022-06-21, , 
296,17/713664,2022-04-05, , 
297,17/664356,2022-05-20, , 
298,17/767271,2020-10-09, , 
299,17/753779,2020-10-09, , 
300,17/619915,2020-06-16, , 
301,17/324500,2021-05-19, , 
302,17/751543,2022-05-23, , 
303,17/879466,2022-08-02, , 
304,17/713039,2022-04-04, , 
305,17/386396,2021-07-27,11507072,2022-11-22
306,17/455922,2021-11-22,11508117,2022-11-22
307,17/700622,2022-03-22, , 
308,17/770598,2019-11-06, , 
309,17/321004,2021-05-14, , 
310,17/737847,2022-05-05, , 
311,17/658386,2022-04-07, , 
312,17/826037,2022-05-26, , 
